"Date","Value1","Value2","Value3","holt_winters_residuals","holt_winters","baggedmodel_residuals","baggedmodel","bats_residuals","bats","arima","arima_residuals"
2010-04-30,86.07,86.07,86.07,13.66,61.93,4.07045320443105,81.9995467955689,-0.876844862092256,86.9468448620922,85.983930043035,0.0860699569650323
2010-05-31,74,74,74,12.3560017638468,66.4939982361532,-8.01686890606985,82.0168689060698,-11.934853258255,85.934853258255,86.070000000052,-12.070000000052
2010-06-30,75.59,75.59,75.59,13.66,61.93,-3.90799069928205,79.4979906992821,3.4295004644362,72.1604995355638,74,1.59
2010-07-31,78.85,78.85,78.85,12.3560017638468,66.4939982361532,2.4138252737195,76.4361747262805,2.73141640030209,76.1185835996979,75.59,3.25999999999999
2010-08-31,71.93,71.93,71.93,-0.514095414160948,72.444095414161,-4.33551799163848,76.2655179916385,-7.34098898312376,79.2709889831238,78.85,-6.91999999999999
2010-09-30,79.95,79.95,79.95,14.5378312955703,65.4121687044297,3.12852692078137,76.8214730792186,9.15145527235846,70.7985447276415,71.93,8.02
2010-10-31,81.45,81.45,81.45,4.85271529040787,76.5972847095921,3.15747992879169,78.2925200712083,0.0895003600377891,81.3604996399622,79.95,1.5
2010-11-30,84.12,84.12,84.12,4.96620235378806,79.1537976462119,1.96217911909643,82.1578208809036,2.65620544800224,81.4637945519978,81.45,2.67
2010-12-31,91.38,91.38,91.38,8.47498148698384,82.9050185130162,6.172273100244,85.207726899756,6.85060316457107,84.5293968354289,84.12,7.25999999999999
2011-01-31,90.99,90.99,90.99,-1.02015614066775,92.0101561406677,1.80893925670287,89.1810607432971,-1.44587286497891,92.4358728649789,91.38,-0.390000000000001
2011-02-28,97.1,97.1,97.1,5.70194800010434,91.3980519998957,3.90105190426776,93.1989480957322,6.33285014730322,90.7671498526968,90.99,6.11
2011-03-31,106.19,106.19,106.19,7.44054365933219,98.7494563406678,7.0075630226077,99.1824369773923,8.11392760639001,98.07607239361,97.1,9.09
2011-04-30,113.39,113.39,113.39,3.93061952178645,109.459380478214,9.74442935357357,103.645570646426,5.94941289370001,107.4405871063,106.19,7.2
2011-05-31,102.7,102.7,102.7,-14.8151385693396,117.51513856934,-2.76623390142814,105.466233901428,-11.6069738030515,114.306973803052,113.39,-10.69
2011-06-30,95.3,95.3,95.3,-8.29964838093692,103.599648380937,-7.40906479396985,102.70906479397,-5.61103508862632,100.911035088626,102.7,-7.40000000000001
2011-07-31,95.68,95.68,95.68,1.28731645402637,94.3926835459736,-2.5869332941991,98.2669332941991,1.2448201555689,94.4351798444311,95.3,0.38000000000001
2011-08-31,88.81,88.81,88.81,-6.24295271607946,95.0529527160795,-4.30709699856155,93.1170969985615,-7.06186220431532,95.8718622043153,95.68,-6.87
2011-09-30,78.93,78.93,78.93,-7.8937630846001,86.8237630846001,-10.3293341520624,89.2593341520624,-8.79156610613227,87.7215661061323,88.81,-9.88
2011-10-31,93.19,93.19,93.19,17.9648340962353,75.2251659037647,4.20324969662808,88.9867503033719,15.6150304796723,77.5749695203277,78.93,14.26
2011-11-30,100.36,100.36,100.36,6.96360533232694,93.3963946676731,8.49428714894285,91.8657128510572,4.76327951521523,95.5967204847848,93.19,7.17
2011-12-31,98.83,98.83,98.83,-3.25248178155354,102.082481781554,2.97344769244981,95.8565523075502,-2.26415690087495,101.094156900875,100.36,-1.53
2012-01-31,98.46,98.46,98.46,-1.38436501131484,99.8443650113148,-0.8521848337612,99.3121848337612,-0.0210290004751386,98.4810290004751,98.83,-0.370000000000005
2012-02-29,107.08,107.08,107.08,7.90703316597964,99.1729668340204,5.38467215045469,101.695327849545,8.6232411673025,98.4567588326975,98.46,8.62
2012-03-31,103.03,103.03,103.03,-6.48445312163589,109.514453121636,0.25563285009882,102.774367149901,-5.37908681732024,108.40908681732,107.08,-4.05
2012-04-30,104.89,104.89,104.89,0.837314971055406,104.052685028945,2.31902597433852,102.570974025661,2.68907032743442,102.200929672566,103.03,1.86
2012-05-31,86.52,86.52,86.52,-19.5749817527384,106.094981752738,-11.3272315526887,97.8472315526887,-18.78446224844,105.30446224844,104.89,-18.37
2012-06-30,85.04,85.04,85.04,1.576801644434,83.463198355566,-7.65472987133208,92.6947298713321,1.41522009885539,83.6247799011446,86.52,-1.47999999999999
2012-07-31,88.08,88.08,88.08,5.75350696586077,82.3264930341392,-0.911997514044856,88.9919975140449,2.82187431610662,85.2581256838934,85.04,3.03999999999999
2012-08-31,96.47,96.47,96.47,9.85087742207124,86.6191225779288,6.75786364140363,89.7121363585964,7.95506887828986,88.5149311217101,88.08,8.39
2012-09-30,92.18,92.18,92.18,-4.97381453091566,97.1538145309157,1.53353499652624,90.6464650034738,-5.51610245635945,97.6961024563595,96.47,-4.28999999999999
2012-10-31,86.23,86.23,86.23,-5.55093637265094,91.7809363726509,-4.96250006743887,91.1925000674389,-5.09981166414153,91.3298116641415,92.18,-5.95
2012-11-30,88.54,88.54,88.54,3.91759034632875,84.6224096536713,-1.8423412463049,90.3823412463049,3.0960260802316,85.4439739197684,86.23,2.31
2012-12-31,91.83,91.83,91.83,4.04466891295009,87.7853310870499,1.7951589054906,90.0348410945094,2.81281429111384,89.0171857088862,88.54,3.28999999999999
2013-01-31,97.65,97.65,97.65,5.69408046397959,91.9559195360204,5.21850752657471,92.4314924734253,5.38646528592233,92.2635347140777,91.83,5.82000000000001
2013-02-28,92.03,92.03,92.03,-6.98561098963606,99.0156109896361,-1.72873155178144,93.7587315517814,-6.45020755938245,98.4802075593824,97.65,-5.62
2013-03-31,97.24,97.24,97.24,5.36526710418751,91.8747328958125,2.06770211308162,95.1722978869184,6.20416050993229,91.0358394900677,92.03,5.20999999999999
2013-04-30,93.22,93.22,93.22,-5.03283647592555,98.2528364759255,-0.946556112401069,94.1665561124011,-4.97623765893924,98.1962376589392,97.24,-4.02
2013-05-31,91.93,91.93,91.93,-1.20710830592188,93.1371083059219,-1.61527979515938,93.5452797951594,-0.523020189969046,92.4530201899691,93.22,-1.28999999999999
2013-06-30,96.36,96.36,96.36,4.77569828065626,91.5843017193437,1.29953871058883,95.0604612894112,4.5106122925468,91.8493877074532,91.93,4.42999999999999
2013-07-31,105.1,105.1,105.1,8.04595316622935,97.0540468337706,6.88226036546156,98.2177396345384,8.04478630717202,97.055213692828,96.36,8.73999999999999
2013-08-31,107.98,107.98,107.98,0.43422179547261,107.545778204527,5.86700250837325,102.112997491627,1.64006953515771,106.339930464842,105.1,2.88000000000001
2013-09-30,102.36,102.36,102.36,-8.16031516308047,110.52031516308,-1.20214094639528,103.562140946395,-5.87278137957361,108.232781379574,107.98,-5.62
2013-10-31,96.29,96.29,96.29,-6.83368537527258,103.123685375273,-4.75999049253397,101.049990492534,-5.16483729363947,101.454837293639,102.36,-6.06999999999999
2013-11-30,92.55,92.55,92.55,-3.01588389266011,95.5658838926601,-5.99983030086999,98.54983030087,-2.94395162011601,95.493951620116,96.29,-3.74000000000001
2013-12-31,98.17,98.17,98.17,7.00072177185044,91.1692782281496,1.99050155570858,96.1794984442914,6.07374670767196,92.096253292328,92.55,5.62
2014-01-31,97.55,97.55,97.55,-0.76344617846307,98.3134461784631,0.847417769698751,96.7025822303012,-1.55613718140209,99.1061371814021,98.17,-0.620000000000005
2014-02-28,102.88,102.88,102.88,5.3527681398493,97.5272318601507,4.18214282286372,98.6978571771363,5.56984501576805,97.3101549842319,97.55,5.33
2014-03-31,101.57,101.57,101.57,-2.45261421787023,104.02261421787,0.738725564622428,100.831274435378,-2.16847159337769,103.738471593378,102.88,-1.31
2014-04-30,100.07,100.07,100.07,-2.10864127805249,102.178641278052,-1.53000848858667,101.600008488587,-1.16577682885411,101.235776828854,101.57,-1.5
2014-05-31,103.4,103.4,103.4,3.18044330771677,100.219556692283,1.67168563778741,101.728314362213,3.50967937868218,99.8903206213178,100.07,3.33000000000001
2014-06-30,106.07,106.07,106.07,1.82801045359267,104.241989546407,3.32269353410554,102.747306465894,2.12905854832,103.94094145168,103.4,2.66999999999999
2014-07-31,98.23,98.23,98.23,-9.07997635933954,107.30997635934,-3.90822770401373,102.138227704014,-8.16814849949978,106.3981484995,106.07,-7.83999999999999
2014-08-31,97.86,97.86,97.86,0.366878229019775,97.4931217709802,-2.21994762348614,100.079947623486,0.888944088652366,96.9710559113476,98.23,-0.370000000000005
2014-09-30,91.17,91.17,91.17,-6.03299696907595,97.202996969076,-3.40896183122391,94.5789618312239,-6.82701157681204,97.997011576812,97.86,-6.69
